product_id,category,sub_category,user,rating,comment
197,Thời Trang Nam,Đồ lót,nhungkoi2000,5,"Sảnn phẩm siêu đẹp , đóngg hànggg cẩn thạnnn, chắccc chắnn , shopp tư vấnn nhiệt tình , sản phẩm rất đáng tiền phì hớp với giá tiền , ship hành nhanh 3 ngày đã nhận được hành rôi "
147,Thời Trang Nam,Quần Dài/Quần Âu,n*****1,5,"Quần vải ổn, giao hàng nhanh, có tất tặng kèm.............."
630,Thời Trang Nam,Áo,fot._.zzs,5,Chất lượng sản phẩm rất tốt và đẹp. Shop nhiệt tình tư vấn. Rất phù hợp với giá tiền và chất lượng. Sẽ ủng hộ shop vào lần tới
34,Thời Trang Nam,Quần Short,anhtrung610,5,"Giao hàng  nhanh, đóng gói bịch thôi, chưa sử dụng nên không đánh giá được"
1195,Thời Trang Nam,Áo Khoác,thedoan2896,5,Sản phẩm chất lượng tốt giao hàng nhanh
1892,Thời Trang Nam,Vớ/ Tất,octobreshop,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn"
334,Thời Trang Nam,Quần Dài/Quần Âu,t*****7,5,Hi các mẹ có con trai hay con e đã đồng nai ạ e đã đồng nai ạ em lượn sóng gió trong lành luôn luôn á Châu ACB và có gì e đã đồng nai ạ e có bị gì không xin cho em xin giá set đồ
630,Thời Trang Nam,Đồ lót,trangthiphuonghoang,5,Mua giùm nên cũng k biết tốt hay không nhưng thấy gói hàng cũng khá ổn 
289,Thời Trang Nam,Quần jeans,l*****m,5,"Hàng đẹp, đóng gói cẩn thận và đầy đủ. Shop giao hàng nhanh và chắc chắn"
1107,Thời Trang Nam,Áo,Người dùng Shopee,5, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn
565,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",khaitamday,5,ngol
241,Thời Trang Nam,Quần Dài/Quần Âu,d*****1,5,"shop giao hàng siêu nhanh luôn ấy, mình đặt 2 hôm đã có rồi, cảm ơn shop nhiều"
230,Thời Trang Nam,Đồ lót,nhimbetiteo,5,Hàng y như hình. So với giá tiền hợp lý. Ship nhanh. Sẽ ủng hộ shop.
1331,Thời Trang Nam,Áo Khoác,b*****4,5,"Mình thật sự rất thích chiếc varsity này, mình 1m8 70kg mang rất thoải mái, chất vải mát, nhẹ để layer cũng ưng lắm nha. Nchung mình sẽ tiếp tục ủng hộ shop ạ. À ngoài ra shop cũng tặng thêm túi vải nữa, mình cảm ơn shop nha^^"
730,Thời Trang Nam,Áo,khoa1984,5,Hàng chuẩn vnxk sale giá ngon bổ rẻ ! Nói tóm lại là hài lòng ! Năm saooooo
1238,Thời Trang Nam,Đồ lót,huynhnhatle1992,5,"Quần mát, thoải mái, màu sắc phù hợp và bao bì cũng rất sang trọng. Ba và bạn mình mặc rất thích nên mình đã quay lại mua tặng. Giá cả hợp lý nên chắc chắn vẫn sẽ quay lại ủng hộ."
349,Thời Trang Nam,Đồ lót,k*****6,5,", Chất lượng sản phẩm tuyệt vời"
603,Thời Trang Nam,Áo,loankim0901,5,Gooodddddddddddddddddddddddddddddddddddddddddddddd 
8,Thời Trang Nam,Quần jeans,baoduc676,5,Sp đẹp vải dày dặn mình m67 55kg chiều dài dênd mắt cá chân ống nhỏ
119,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",nguyen_dang_quang412,5,"Áo có 1 lớp lông ở trong , cũng khá giống trong ảnh 
Nói chung là phù hợp với giá tiền
App shopee thì ngày lỗi 5,7 lần nên ko up dc ảnh"
459,Thời Trang Nam,Áo,ighongtuyet,5,Okokokokoko hang ok ok vải cũng mỏng sờ kh mềm nó làm sao í 🤣🤣🤣
507,Thời Trang Nam,Đồ Bộ,d*****i,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
505,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",minhtri.888_,5,Quá  đẹp
829,Thời Trang Nam,Quần Dài/Quần Âu,t*****n,5,Rất hài lòng.
2778,Thời Trang Nam,Đồ Bộ,dunguyennn2008,5,", Chất lượng sản phẩm tuyệt vời"
686,Thời Trang Nam,Đồ lót,q*****3,5,"sản phẩm rất oke, hình ảnh mang tính chất nhận xu để xài , cám ơn các bạn"
